"key","EN","UK","RU","ES","IT","DE","KO","NL","FR","PT","ZH_TW","ZH","PL","CS"
"crop.preview_loading","Loading crop preview...","Завантажується попередній перегляд кропу...","Загружается предпросмотр кропа...","Cargando vista previa del recorte...","Caricamento anteprima ritaglio...","Zuschnittvorschau wird geladen...","자르기 미리보기를 불러오는 중...","Bijsnijvoorbeeld laden...","Chargement de l'aperçu du recadrage...","Carregando prévia do corte...","正在載入裁切預覽...","正在加载裁剪预览...","Ładowanie podglądu kadru...","Načítá se náhled ořezu..."
"trim.preview_start_frame","Start frame","Кадр початку","Кадр начала","Fotograma inicial","Fotogramma iniziale","Startbild","시작 프레임","Startframe","Image de début","Quadro inicial","開始影格","开始帧","Klatka startowa","Počáteční snímek"
"trim.preview_end_frame","End frame","Кадр кінця","Кадр конца","Fotograma final","Fotogramma finale","Endbild","끝 프레임","Eindframe","Image de fin","Quadro final","結束影格","结束帧","Klatka końcowa","Koncový snímek"
"trim.preview_frame_loading","Loading frame...","Кадр завантажується...","Кадр загружается...","Cargando fotograma...","Caricamento fotogramma...","Bild wird geladen...","프레임 로딩 중...","Frame laden...","Chargement de l'image...","Carregando quadro...","正在載入影格...","正在加载帧...","Ładowanie klatki...","Načítá se snímek..."
"trim.preview_frame_no_file","No frame preview","Немає превʼю кадру","Нет превью кадра","Sin vista de fotograma","Nessuna anteprima fotogramma","Keine Bildvorschau","프레임 미리보기 없음","Geen framevoorbeeld","Aucun aperçu d'image","Sem prévia do quadro","沒有影格預覽","没有帧预览","Brak podglądu klatki","Bez náhledu snímku"
"option.output_container.mp3","MP3 .mp3 (audio only)","MP3 .mp3 (лише аудіо)","MP3 .mp3 (только аудио)","MP3: extraer solo audio","MP3: estrai solo audio","MP3: nur Ton extrahieren","MP3: 오디오만 추출","MP3: alleen audio extraheren","MP3 : extraire l'audio seul","MP3: extrair só áudio","MP3：只擷取音訊","MP3：仅提取音频","MP3: wyodrębnij tylko dźwięk","MP3: extrahovat pouze zvuk"
"sidebar.ffmpeg_download_link","If you do not have FFmpeg, download it here","Якщо у вас немає FFmpeg, скачайте його тут","Если у вас нет FFmpeg, скачайте его тут","Si no tienes FFmpeg, descárgalo aquí","Se non hai FFmpeg, scaricalo qui","Wenn du FFmpeg nicht hast, lade es hier herunter","FFmpeg가 없으면 여기에서 다운로드하세요","Als je FFmpeg niet hebt, download het hier","Si vous n'avez pas FFmpeg, téléchargez-le ici","Se você não tem FFmpeg, baixe aqui","如果你沒有 FFmpeg，請在這裡下載","如果你没有 FFmpeg，请在这里下载","Jeśli nie masz FFmpeg, pobierz go tutaj","Pokud nemáte FFmpeg, stáhněte ho zde"
"app.title","FfmpegPyUi","FfmpegPyUi","FfmpegPyUi","FfmpegPyUi","FfmpegPyUi","FfmpegPyUi","FfmpegPyUi","FfmpegPyUi","FfmpegPyUi","FfmpegPyUi","FfmpegPyUi","FfmpegPyUi","FfmpegPyUi","FfmpegPyUi"
"sidebar.logo","FFMPEG\nFLOW","FFMPEG\nFLOW","FFMPEG\nFLOW","FFMPEG\nFLOW","FFMPEG\nFLOW","FFMPEG\nFLOW","FFMPEG\nFLOW","FFMPEG\nFLOW","FFMPEG\nFLOW","FFMPEG\nFLOW","FFMPEG\nFLOW","FFMPEG\nFLOW","FFMPEG\nFLOW","FFMPEG\nFLOW"
"sidebar.add_files","Add files","Додати файли","Добавить файлы","Agregar archivos","Aggiungi file","Dateien hinzufügen","파일 추가","Bestanden toevoegen","Ajouter des fichiers","Adicionar arquivos","新增檔案","添加文件","Dodaj pliki","Přidat soubory"
